Room 5,
220102001   21010101   220102040   230102002
220102002   21010102   220102042   230102003
220102003   21010103   220102043   230102004
220102005   21010104   220102044   230102005
220102006   21010105   220102046   230102006
220102007   21010106   220102047   230102007
220102008   21010107   220102048   230102008
220102009   21010108   220102049   230102010
220102010   21010109   220102050   230102011
220102012   21010110   220102051   230102012
220102013   21010112   220102052   230102013
220102014   21010113   220102053   230102014
220102015   21010114   220102054   230102015
Room 6,
220102016   21010115   220102055   230102016
220102017   21010116   220102056   230102017
220102018   21010117   220102057   230102018
220102020   21010118   220102058   230102019
220102022   21010119   220102059   230102020
220102023   21010120   220102060   230102021
220102024   21010121   220102061   230102022
220102025   21010122   220102062   230102024
220102026   21010123   220102063   230102025
220102027   21010124   220102064   230102029
220102028   21010125   220102065   230102030
220102029   21010126   220102066   230102031
220102030   21010127   220102067   230102032
220102032   21010128   220102068   230102033
220102033   21010129   220102069   230102035
220102037   21010130   220102070   230102036
220102038   21010132   220102071   230102038
220102039   21010133   220102072   230102039
Room 7,
220102074   230102045   220103002   230104005
220102075   230102046   220103003   230104006
220102077   230102047   220103004   230104007
220102078   230102048   220103005   230104008
220104002   230102049   220103006   230104009
220104003   230102050   220103007   230104011
220104004   230102051   220103008   230104012
220104005   230102052   220103009   230104014
220104006   230102053   220103010   230104015
220104007   230102054   220103011   230104017
220104008   230102055   220103012   230104018
220104009   230102056   220103013   230104019
220104010   230102059   220103014   230104020
220104011   230102060   220103015   230104021
Room 8,
220104013   230102061   220103016   230104022
220104014   230102063   220103017   230104023
220104015   230102064   220103018   230104024
220104016   230102065   220103019   230104025
220104017   230102066   220103020   230104026
220104018   230102067   220103021   230104027
220104019   230102068   220103022   230104028
220104020   230102069   220103023   230104030
220104021   230102071   220103024   230104031
220104022   230102072   220103025   230104032
220104023   230102073   220103026   230104033
220104024   230102074   220103027   230104036
220104025   230102075   220103028   230104037
220104026   230102076   220103029   230101001
